"region_id"	"name"	"continent_id"
"126"	"Saito Momoe"	"683"
"127"	"Qin Lu"	"743"
"128"	"Kato Hazuki"	"912"
"129"	"Liao Wing Kuen"	"953"
"130"	"Hsuan On Na"	"791"
"131"	"Takeuchi Ren"	"185"
"132"	"Kam Fu Shing"	"662"
"133"	"Yao Yuning"	"377"
"134"	"Cynthia Perry"	"614"
"135"	"Tin Tin Wing"	"669"
"136"	"Nomura Airi"	"505"
"137"	"Chic Kwok Ming"	"669"
"138"	"Yamaguchi Ikki"	"654"
"139"	"Uchida Kazuma"	"963"
"140"	"Matsui Yota"	"668"
"141"	"Marie Hughes"	"513"
"142"	"Eleanor Harris"	"445"
"143"	"Sylvia Parker"	"630"
"144"	"Xue Jiehong"	"529"
"145"	"Sano Daichi"	"556"
"146"	"Dai Rui"	"952"
"147"	"Murakami Kaito"	"895"
"148"	"Loui Lik Sun"	"687"
"149"	"Rebecca Murphy"	"501"
"150"	"Linda Kelley"	"812"
"151"	"Ogawa Ryota"	"776"
"152"	"Yamamoto Mitsuki"	"624"
"153"	"Sato Akina"	"98"
"154"	"Masuda Ayato"	"502"
"155"	"Bryan Jones"	"212"
"156"	"Pang Fu Shing"	"709"
"157"	"Liao Ka Keung"	"350"
"158"	"Wong Sau Man"	"64"
"159"	"Jiang Lu"	"746"
"160"	"Lok Ka Keung"	"288"
"161"	"Mike Torres"	"250"
"162"	"Pauline West"	"768"
"163"	"Norman Nguyen"	"449"
"164"	"Chung Sze Yu"	"904"
"165"	"Leung Wing Sze"	"221"
"166"	"Yung Ming"	"204"
"167"	"Miyazaki Hikari"	"249"
"168"	"Henry Rogers"	"575"
"169"	"Leslie Cook"	"428"
"170"	"Siu Tsz Hin"	"275"
"171"	"Nakano Miu"	"403"
"172"	"Joyce Patel"	"153"
"173"	"Miyazaki Ayato"	"679"
"174"	"Miyamoto Hana"	"613"
"175"	"Yam Ming Sze"	"977"
"176"	"Lam Ming Sze"	"437"
"177"	"Chin Tsz Ching"	"679"
"178"	"Alexander Sanchez"	"423"
"179"	"Guo Xiuying"	"259"
"180"	"Ikeda Ikki"	"288"
"181"	"Zheng Shihan"	"542"
"182"	"Hashimoto Rena"	"109"
"183"	"Tsui Ling Ling"	"726"
"184"	"Yu Rui"	"232"
"185"	"Sit Wing Sze"	"647"
"186"	"Nakamura Mio"	"590"
"187"	"Tao Lan"	"444"
"188"	"Duan Zhiyuan"	"511"
"189"	"Ma Lu"	"785"
"190"	"Ueno Hikaru"	"559"
"191"	"Lu Zhennan"	"865"
"192"	"Jiang Jialun"	"983"
"193"	"Hao Lu"	"991"
"194"	"Man Kwok Wing"	"270"
"195"	"Meng Xiaoming"	"936"
"196"	"Douglas Munoz"	"796"
"197"	"Kong Yuning"	"871"
"198"	"Meng Fat"	"616"
"199"	"Fujii Yuto"	"766"
"200"	"Elaine Stephens"	"30"
"201"	"Ho Siu Wai"	"415"
"202"	"Shimada Mio"	"858"
"203"	"Yip Ling Ling"	"217"
"204"	"Tan Anqi"	"763"
"205"	"Harada Rin"	"197"
"206"	"Dong Yunxi"	"572"
"207"	"George Spencer"	"590"
"208"	"Wong Sum Wing"	"558"
"209"	"Takagi Shino"	"22"
"210"	"Xue Yuning"	"478"
"211"	"Mao Rui"	"138"
"212"	"Ruth Harrison"	"288"
"213"	"Gerald Perez"	"440"
"214"	"Hsuan Ka Fai"	"902"
"215"	"Nakano Mai"	"825"
"216"	"Xie Lan"	"897"
"217"	"Juan Wilson"	"454"
"218"	"Loui Chung Yin"	"323"
"219"	"Choi Wai Man"	"769"
"220"	"Rhonda Simmons"	"73"
"221"	"Loui Fat"	"892"
"222"	"Sasaki Momoe"	"326"
"223"	"Nakagawa Mai"	"647"
"224"	"Qiu Shihan"	"469"
"225"	"Gregory Howard"	"888"
"226"	"Au Hiu Tung"	"67"
"227"	"Mok Kwok Kuen"	"288"
"228"	"Doris Robertson"	"328"
"229"	"Sato Seiko"	"400"
"230"	"Gladys Reyes"	"205"
"231"	"Gao Zhennan"	"994"
"232"	"Tin Tin Wing"	"21"
"233"	"Wei Yuning"	"244"
"234"	"Lee Yu Ling"	"905"
"235"	"Shimada Misaki"	"523"
"236"	"Kwong Siu Wai"	"1000"
"237"	"Yuan Ziyi"	"657"
"238"	"Jose Hall"	"49"
"239"	"Matsui Ryota"	"607"
"240"	"Larry Rice"	"933"
"241"	"Tan Jiehong"	"858"
"242"	"Maruyama Akina"	"906"
"243"	"Qiu Zitao"	"120"
"244"	"Pak Tsz Ching"	"757"
"245"	"Maeda Ren"	"666"
"246"	"Martin Vargas"	"765"
"247"	"Nakano Rena"	"379"
"248"	"Justin Marshall"	"758"
"249"	"Peter Gonzalez"	"378"
"250"	"Fung Ming"	"815"
"251"	"Xie Shihan"	"410"
"252"	"George Peterson"	"671"
"253"	"Cheng Zhiyuan"	"562"
"254"	"Okada Misaki"	"468"
"255"	"Long Ziyi"	"992"
"256"	"Lo Lik Sun"	"237"
"257"	"Kimberly Stevens"	"921"
"258"	"Cindy Soto"	"793"
"259"	"Nakajima Daichi"	"889"
"260"	"Tsui Ming"	"572"
"261"	"Yoshida Mai"	"126"
"262"	"Lee Chung Yin"	"686"
"263"	"Hao Lan"	"254"
"264"	"Wu Wing Fat"	"633"
"265"	"Matsui Hina"	"653"
"266"	"Hung Chun Yu"	"203"
"267"	"Choi Tsz Ching"	"487"
"268"	"Rebecca Nelson"	"376"
"269"	"Jia Shihan"	"213"
"270"	"Fung Wai Yee"	"967"
"271"	"Adam Reyes"	"342"
"272"	"Troy Flores"	"804"
"273"	"Troy Anderson"	"149"
"274"	"Ye Shihan"	"195"
"275"	"Kwok Ka Keung"	"9"
"276"	"Tsui Ho Yin"	"527"
"277"	"Koyama Aoshi"	"224"
"278"	"Melvin Ramos"	"324"
"279"	"Jennifer Robertson"	"162"
"280"	"Tanaka Mitsuki"	"359"
"281"	"Annie Campbell"	"775"
"282"	"Ti Wai Man"	"845"
"283"	"Imai Miu"	"95"
"284"	"Yin Chung Yin"	"466"
"285"	"Charles Bailey"	"400"
"286"	"Ng Kar Yan"	"407"
"287"	"Wei Zhennan"	"464"
"288"	"Gong Shihan"	"808"
"289"	"Shi Zhennan"	"888"
"290"	"Fan Wai Yee"	"161"
"291"	"Takahashi Kazuma"	"817"
"292"	"Mo Siu Wai"	"935"
"293"	"Ku Kwok Kuen"	"195"
"294"	"Liao Kwok Ming"	"79"
"295"	"Sarah Webb"	"324"
"296"	"Zhang Zhiyuan"	"930"
"297"	"Mok Ka Man"	"724"
"298"	"Chan Sze Kwan"	"57"
"299"	"Mo Xiuying"	"619"
"300"	"Jesus Williams"	"291"
"301"	"Ku Siu Wai"	"818"
"302"	"Kao Wing Suen"	"758"
"303"	"Su Xiaoming"	"395"
"304"	"Wayne Graham"	"502"
"305"	"Ito Ayano"	"538"
"306"	"Duan Zitao"	"993"
"307"	"Tin Chieh Lun"	"290"
"308"	"Kong Zhennan"	"792"
"309"	"Loui Kwok Yin"	"720"
"310"	"Eugene Hunter"	"632"
"311"	"Kam Ching Wan"	"877"
"312"	"Hui Fu Shing"	"128"
"313"	"Lai Kwok Ming"	"57"
"314"	"Yu Ziyi"	"52"
"315"	"Mak Tin Wing"	"239"
"316"	"Fu Ka Keung"	"313"
"317"	"Heung Wai Lam"	"444"
"318"	"Au Chun Yu"	"661"
"319"	"Cheung Yun Fat"	"959"
"320"	"Cheng Zhennan"	"245"
"321"	"To Fu Shing"	"786"
"322"	"Peng Yuning"	"233"
"323"	"Tao Lu"	"466"
"324"	"Takeda Kazuma"	"310"
"325"	"Liang Jialun"	"963"
"326"	"Jeff Campbell"	"812"
"327"	"Lok Ka Ling"	"47"
"328"	"Hou Zhennan"	"228"
"329"	"Zeng Zhiyuan"	"534"
"330"	"Raymond Reynolds"	"726"
"331"	"Leung Ling Ling"	"913"
"332"	"Yang Yuning"	"744"
"333"	"Grace Reed"	"112"
"334"	"Song Rui"	"417"
"335"	"Kong Rui"	"551"
"336"	"Ti Ling Ling"	"435"
"337"	"Yuan Zitao"	"952"
"338"	"Shi Jiehong"	"956"
"339"	"Chan Wing Fat"	"500"
"340"	"Anne Aguilar"	"334"
"341"	"Yao Yuning"	"114"
"342"	"Lin Jialun"	"462"
"343"	"Okada Momoe"	"476"
"344"	"Ueno Yuna"	"336"
"345"	"Brenda Griffin"	"994"
"346"	"Tian Xiuying"	"468"
"347"	"Shibata Yuto"	"265"
"348"	"Koon Hui Mei"	"519"
"349"	"Kudo Sakura"	"659"
"350"	"Saito Nanami"	"280"
"351"	"Jiang Lu"	"774"
"352"	"Kojima Mitsuki"	"82"
"353"	"Carolyn Grant"	"278"
"354"	"Nakagawa Daisuke"	"110"
"355"	"Tsui Chun Yu"	"748"
"356"	"Meng Rui"	"557"
"357"	"Tang Tak Wah"	"19"
"358"	"Wang Xiaoming"	"381"
"359"	"Amber Mendoza"	"264"
"360"	"Duan Yuning"	"786"
"361"	"Tammy Cruz"	"979"
"362"	"Hao Yuning"	"90"
"363"	"Wong Sze Kwan"	"653"
"364"	"Judith Phillips"	"450"
"365"	"Randall Cook"	"534"
"366"	"Sheh Wai San"	"249"
"367"	"Kinoshita Airi"	"793"
"368"	"Kam Tsz Ching"	"446"
"369"	"Shirley Reynolds"	"544"
"370"	"Liao Chun Yu"	"900"
"371"	"Tin Chun Yu"	"910"
"372"	"Kimura Yota"	"311"
"373"	"Shimada Ayato"	"963"
"374"	"Richard Gray"	"364"
"375"	"Qiu Zitao"	"615"
"376"	"Sakamoto Sakura"	"845"
"377"	"Lu Lu"	"404"
"378"	"Maeda Kazuma"	"211"
"379"	"Xu Anqi"	"525"
"380"	"Sano Miu"	"887"
"381"	"Song Xiaoming"	"644"
"382"	"Heung Wai Lam"	"357"
"383"	"Gao Rui"	"560"
"384"	"Fujita Kaito"	"634"
"385"	"Ying Tsz Hin"	"906"
"386"	"Fujiwara Yuito"	"730"
"387"	"Yokoyama Yuna"	"599"
"388"	"Louis Ortiz"	"668"
"389"	"Edith Black"	"77"
"390"	"Xu Lu"	"952"
"391"	"Zheng Yuning"	"249"
"392"	"Fan Shihan"	"115"
"393"	"Pang Chieh Lun"	"879"
"394"	"Sit Kar Yan"	"248"
"395"	"Xu Lan"	"583"
"396"	"Gong Lu"	"279"
"397"	"Gu Zhennan"	"939"
"398"	"Shao Zitao"	"361"
"399"	"Ono Miu"	"444"
"400"	"Yung Chi Yuen"	"952"
"401"	"Elizabeth Robertson"	"754"
"402"	"Walter Mitchell"	"410"
"403"	"Sheh Cho Yee"	"831"
"404"	"Kato Airi"	"980"
"405"	"Wei Zitao"	"361"
"406"	"Lui Kwok Wing"	"879"
"407"	"Tina Jimenez"	"432"
"408"	"Sit Wing Sze"	"773"
"409"	"Kwok Chi Ming"	"515"
"410"	"Fu Ming Sze"	"938"
"411"	"Lin Shihan"	"44"
"412"	"Sun Anqi"	"712"
"413"	"Craig Patel"	"106"
"414"	"Ichikawa Kazuma"	"432"
"415"	"Yan Jialun"	"774"
"416"	"Mo Shihan"	"29"
"417"	"Pan Anqi"	"362"
"418"	"Qiu Xiaoming"	"441"
"419"	"Lok Wing Suen"	"396"
"420"	"Song Lu"	"578"
"421"	"Peng Yunxi"	"650"
"422"	"Yip Kwok Wing"	"671"
"423"	"Jennifer Stone"	"289"
"424"	"Yamamoto Yamato"	"74"
"425"	"Nomura Miu"	"445"
"426"	"Zeng Rui"	"445"
"427"	"Robert Coleman"	"599"
"428"	"Saito Momoka"	"224"
"429"	"Wan Yun Fat"	"374"
"430"	"Ng Wai Yee"	"500"
"431"	"Shimada Hina"	"303"
"432"	"Miu Kar Yan"	"566"
"433"	"Karen Davis"	"989"
"434"	"Kong Ka Ling"	"348"
"435"	"Marie Tucker"	"677"
"436"	"Edith Foster"	"287"
"437"	"Wayne Hernandez"	"876"
"438"	"Long Yuning"	"700"
"439"	"Wan Chieh Lun"	"996"
"440"	"Wan Wai Man"	"710"
"441"	"Mo Kwok Wing"	"881"
"442"	"Qiu Lu"	"420"
"443"	"Tsui Ka Man"	"145"
"444"	"Wu Yuning"	"280"
"445"	"Jiang Shihan"	"312"
"446"	"Nomura Mitsuki"	"743"
"447"	"Zheng Zhennan"	"807"
"448"	"Yue Chiu Wai"	"79"
"449"	"Chad Diaz"	"683"
"450"	"Fujita Shino"	"579"
"451"	"Fung Sau Man"	"86"
"452"	"Yam Wai Man"	"930"
"453"	"Ichikawa Rin"	"539"
"454"	"Yam Fu Shing"	"383"
"455"	"Tam Chi Yuen"	"696"
"456"	"Thelma Powell"	"856"
"457"	"Sasaki Ryota"	"776"
"458"	"Ma Hok Yau"	"770"
"459"	"David Lee"	"171"
"460"	"Mo Sze Kwan"	"186"
"461"	"Takeuchi Airi"	"690"
"462"	"Fong Wing Fat"	"221"
"463"	"Koyama Daichi"	"44"
"464"	"Kikuchi Kasumi"	"662"
"465"	"Takagi Riku"	"937"
"466"	"Yuen Kar Yan"	"628"
"467"	"Frances Kelley"	"441"
"468"	"Xie Zhennan"	"820"
"469"	"Wu Xiuying"	"316"
"470"	"Cui Rui"	"795"
"471"	"James Gonzalez"	"662"
"472"	"Wong Fu Shing"	"444"
"473"	"Lam Fu Shing"	"845"
"474"	"Kenneth White"	"947"
"475"	"Samuel Ortiz"	"700"
"476"	"Yamashita Itsuki"	"772"
"477"	"Huang Lan"	"75"
"478"	"Hirano Momoe"	"360"
"479"	"Li Jiehong"	"471"
"480"	"Tong Chi Yuen"	"189"
"481"	"Yeow Yun Fat"	"406"
"482"	"Mario Murray"	"57"
"483"	"Zeng Rui"	"717"
"484"	"Charles Young"	"993"
"485"	"Ying Ka Ming"	"3"
"486"	"Yin Lan"	"88"
"487"	"Uchida Eita"	"482"
"488"	"Takahashi Ryota"	"950"
"489"	"Lucille Sanders"	"159"
"490"	"Tao Ling Ling"	"365"
"491"	"Lam On Na"	"199"
"492"	"Fung Yun Fat"	"446"
"493"	"Xiong Xiuying"	"228"
"494"	"Miura Ayato"	"400"
"495"	"Jimmy Myers"	"888"
"496"	"Watanabe Ayato"	"19"
"497"	"Yamazaki Kasumi"	"124"
"498"	"Kong Kwok Kuen"	"680"
"499"	"Murata Daisuke"	"251"
"500"	"Shibata Hazuki"	"6"
"501"	"Xiang Zhennan"	"891"
"502"	"Wong Chieh Lun"	"388"
"503"	"Wanda Martin"	"642"
"504"	"Guo Ziyi"	"3"
"505"	"Joel Gonzalez"	"252"
"506"	"Carol Campbell"	"476"
"507"	"Shimizu Aoi"	"147"
"508"	"Stephen Spencer"	"341"
"509"	"George Bryant"	"104"
"510"	"Marie Webb"	"157"
"511"	"Yao Lan"	"305"
"512"	"Mak Wai Man"	"893"
"513"	"Shen Jiehong"	"902"
"514"	"Masuda Ayano"	"911"
"515"	"Jamie Rodriguez"	"735"
"516"	"Zhao Ziyi"	"129"
"517"	"Ding Zhennan"	"885"
"518"	"Miyazaki Sakura"	"682"
"519"	"Edna Price"	"275"
"520"	"Tao Chi Yuen"	"926"
"521"	"Wang Rui"	"31"
"522"	"Yamashita Nanami"	"392"
"523"	"Sara Harrison"	"283"
"524"	"Christopher Flores"	"688"
"525"	"Xia Zhiyuan"	"48"
"526"	"Fu Ziyi"	"31"
"527"	"Han Fu Shing"	"390"
"528"	"Jiang Ziyi"	"70"
"529"	"Lu Xiuying"	"312"
"530"	"Kong Ziyi"	"528"
"531"	"Hui Lai Yan"	"750"
"532"	"Xue Yuning"	"165"
"533"	"Chang Lu"	"27"
"534"	"Alan Lopez"	"871"
"535"	"Pan Anqi"	"646"
"536"	"Murakami Yota"	"279"
"537"	"Tang Lan"	"936"
"538"	"Luo Zhiyuan"	"42"
"539"	"Fan Anqi"	"368"
"540"	"Scott Hayes"	"531"
"541"	"Nicholas Foster"	"322"
"542"	"Zhong Lu"	"885"
"543"	"Tong Ka Keung"	"385"
"544"	"Deng Xiuying"	"960"
"545"	"Yu Jialun"	"922"
"546"	"Shannon James"	"728"
"547"	"Mori Ayato"	"985"
"548"	"Fang Zhiyuan"	"909"
"549"	"Troy Rice"	"81"
"550"	"Christina Cox"	"836"
"551"	"Tian Zhiyuan"	"876"
"552"	"Brandon Murphy"	"19"
"553"	"Leung Lai Yan"	"847"
"554"	"Alexander Castro"	"595"
"555"	"Feng Rui"	"226"
"556"	"Wong Kwok Kuen"	"868"
"557"	"Liao Ziyi"	"168"
"558"	"Li Rui"	"612"
"559"	"Saito Kenta"	"975"
"560"	"Xiao Zitao"	"954"
"561"	"Xiong Shihan"	"793"
"562"	"Tin Wing Fat"	"230"
"563"	"Norman Diaz"	"545"
"564"	"Robin Morgan"	"316"
"565"	"Chung Wai Man"	"34"
"566"	"Paul Richardson"	"416"
"567"	"Nakayama Mai"	"525"
"568"	"Mori Ryota"	"92"
"569"	"Pang Wing Fat"	"919"
"570"	"Cheng Zitao"	"734"
"571"	"Zheng Shihan"	"151"
"572"	"Endo Miu"	"387"
"573"	"Ota Kenta"	"663"
"574"	"Tina Murphy"	"301"
"575"	"Yuen Chi Yuen"	"426"
"576"	"Christine Mills"	"399"
"577"	"Larry Barnes"	"581"
"578"	"Du Yunxi"	"100"
"579"	"Sasaki Tsubasa"	"489"
"580"	"Chiba Hina"	"698"
"581"	"Lo Ting Fung"	"183"
"582"	"Qiu Shihan"	"966"
"583"	"Gladys Herrera"	"599"
"584"	"Chic Fu Shing"	"242"
"585"	"Mo Rui"	"584"
"586"	"Nakajima Aoi"	"756"
"587"	"Mark Anderson"	"576"
"588"	"Philip Hamilton"	"377"
"589"	"Tang Yunxi"	"227"
"590"	"Lau Chi Ming"	"984"
"591"	"Alexander Foster"	"692"
"592"	"Kinoshita Misaki"	"565"
"593"	"William Hicks"	"143"
"594"	"Yip Chun Yu"	"430"
"595"	"Wan Tsz Ching"	"263"
"596"	"Su Xiuying"	"992"
"597"	"Cui Xiuying"	"960"
"598"	"Okada Mitsuki"	"375"
"599"	"Tian Zitao"	"128"
"600"	"Alfred Price"	"214"
"601"	"Jane Cook"	"930"
"602"	"Hashimoto Kazuma"	"653"
"603"	"Yamashita Seiko"	"107"
"604"	"Miyamoto Hikari"	"483"
"605"	"Zhao Jiehong"	"501"
"606"	"Abe Misaki"	"854"
"607"	"Carl Woods"	"987"
"608"	"Duan Zhennan"	"43"
"609"	"Wei Zhennan"	"89"
"610"	"Leslie Lopez"	"430"
"611"	"Okamoto Yamato"	"562"
"612"	"Ma Rui"	"249"
"613"	"Curtis Hayes"	"731"
"614"	"Chan Chung Yin"	"319"
"615"	"Maeda Mio"	"655"
"616"	"Tong Ming"	"31"
"617"	"Wong Fu Shing"	"717"
"618"	"Ho Kwok Wing"	"145"
"619"	"Chow Sze Kwan"	"81"
"620"	"Goto Airi"	"264"
"621"	"Cui Zitao"	"511"
"622"	"Clifford Ross"	"241"
"623"	"Leung Chun Yu"	"814"
"624"	"Ito Aoi"	"373"
"625"	"Chin Wai Man"	"196"
"626"	"Hayashi Airi"	"213"
"627"	"Cheryl Thomas"	"609"
"628"	"Liu Anqi"	"459"
"629"	"Okamoto Mai"	"80"
"630"	"Hsuan Fu Shing"	"574"
"631"	"Tong Hok Yau"	"742"
"632"	"Willie Wagner"	"951"
"633"	"Yung Ka Man"	"623"
"634"	"Ray Anderson"	"40"
"635"	"Angela Soto"	"325"
"636"	"Huang Ziyi"	"573"
"637"	"Xu Shihan"	"45"
"638"	"Jeremy Morris"	"418"
"639"	"Aaron Palmer"	"419"
"640"	"Yip Hiu Tung"	"503"
"641"	"Wang Shihan"	"308"
"642"	"Abe Minato"	"728"
"643"	"Jerry Gomez"	"828"
"644"	"Pak Tsz Ching"	"132"
"645"	"Goto Hikari"	"584"
"646"	"Hu Lan"	"928"
"647"	"Miu Tin Lok"	"324"
"648"	"Chung On Kay"	"500"
"649"	"Nathan Carter"	"24"
"650"	"Kojima Mio"	"326"
"651"	"Yan Xiuying"	"451"
"652"	"Ding Yunxi"	"405"
"653"	"Jesus Bailey"	"884"
"654"	"Dai Sze Kwan"	"45"
"655"	"Mori Yamato"	"142"
"656"	"Hsuan Ling Ling"	"184"
"657"	"Chang Lan"	"866"
"658"	"Qin Zitao"	"458"
"659"	"Meng Rui"	"1"
"660"	"Li Yunxi"	"7"
"661"	"Chiang Tin Wing"	"427"
"662"	"Jiang Anqi"	"336"
"663"	"Takeuchi Hikari"	"6"
"664"	"Sugiyama Ayato"	"421"
"665"	"Rhonda Wallace"	"508"
"666"	"Hu Ziyi"	"142"
"667"	"Nakagawa Aoi"	"954"
"668"	"Kikuchi Ren"	"427"
"669"	"Wang Rui"	"896"
"670"	"Kong Shihan"	"259"
"671"	"Wu Fat"	"426"
"672"	"Hashimoto Kaito"	"353"
"673"	"Sakai Itsuki"	"777"
"674"	"Tony Freeman"	"917"
"675"	"Ye Shihan"	"425"
"676"	"Chan Sze Yu"	"133"
"677"	"Leung Tin Lok"	"81"
"678"	"Philip Dixon"	"936"
"679"	"Jennifer Bailey"	"866"
"680"	"Amanda Thompson"	"926"
"681"	"Long Yunxi"	"670"
"682"	"Jin Xiaoming"	"869"
"683"	"Chu Wai Yee"	"452"
"684"	"Eric Sanders"	"957"
"685"	"Tao Fat"	"76"
"686"	"Huang Zhiyuan"	"352"
"687"	"Du Zhennan"	"304"
"688"	"Lee Hok Yau"	"589"
"689"	"Liao Anqi"	"598"
"690"	"Nishimura Takuya"	"197"
"691"	"Cheng Ka Man"	"578"
"692"	"Tamura Seiko"	"713"
"693"	"Miu Tsz Ching"	"42"
"694"	"Lee Wai Han"	"396"
"695"	"Lo Ka Keung"	"450"
"696"	"Yuan Rui"	"123"
"697"	"Clara Stephens"	"995"
"698"	"Noguchi Sara"	"439"
"699"	"Victor Romero"	"641"
"700"	"Jin Zhiyuan"	"640"
"701"	"Miura Sara"	"565"
"702"	"Shao Shihan"	"961"
"703"	"Tang Kwok Wing"	"930"
"704"	"Fred Stephens"	"553"
"705"	"Antonio Soto"	"920"
"706"	"Leung Hui Mei"	"802"
"707"	"Virginia Rodriguez"	"972"
"708"	"Kudo Akina"	"52"
"709"	"Edna Peterson"	"233"
"710"	"Xiong Yuning"	"154"
"711"	"Ishida Momoe"	"740"
"712"	"Qian Lan"	"83"
"713"	"Wei Jiehong"	"250"
"714"	"Karen James"	"80"
"715"	"Ishii Hazuki"	"65"
"716"	"Tse Ling Ling"	"201"
"717"	"Kong Tin Wing"	"693"
"718"	"Fan On Kay"	"893"
"719"	"Saito Akina"	"943"
"720"	"Heung Chung Yin"	"422"
"721"	"Karen Morales"	"2"
"722"	"Ku Wing Kuen"	"844"
"723"	"Yao Yuning"	"162"
"724"	"Elizabeth Graham"	"234"
"725"	"Martha Medina"	"416"
"726"	"Nomura Hana"	"705"
"727"	"Loui Wing Fat"	"38"
"728"	"Kondo Miu"	"654"
"729"	"Shing Yun Fat"	"28"
"730"	"Liu Zhennan"	"311"
"731"	"Cheng Wing Sze"	"777"
"732"	"Tin Ka Fai"	"890"
"733"	"Ogawa Yota"	"159"
"734"	"Tammy Miller"	"640"
